Ponte Nizza comune,Ponte Nizza comune.1
,
Ponte Nizza – VedutaPanorama di Ponte Nizza,Ponte Nizza – VedutaPanorama di Ponte Nizza
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Celestino Pernigotti (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°51′N 9°06′E
Altitudine,267 m s.l.m.
Superficie,"22,96 km²"
Abitanti,740[1] (30-11-2025)
Densità,"32,23 ab./km²"
Frazioni,"Abbadia Sant'Alberto, Due Camini, Carmelo, Casa Minchino, Casa Selvino, Lumello, Moglie, Molino del Conte, Panzini, Pizzocorno, Prendomino, Risaia, San Ponzo Semola, Trebbiano, Vignola"
Comuni confinanti,"Bagnaria, Cecima, Godiasco Salice Terme, Gremiasco (AL), Montesegale, Val di Nizza, Varzi"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018117
Cod. catastale,G851
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 802 GG[3]"
Nome abitanti,pontenizzesi
Cartografia,Cartografia
Ponte Nizza,Ponte Nizza
Ponte Nizza – MappaPosizione del comune di Ponte Nizza nella provincia di Pavia,Ponte Nizza – MappaPosizione del comune di Ponte Nizza nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
