Cecima comune,Cecima comune.1
,
Cecima – Veduta,Cecima – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Milanesi (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°51′N 9°05′E
Altitudine,331 m s.l.m.
Superficie,"10,12 km²"
Abitanti,256[1] (30-11-2025)
Densità,"25,3 ab./km²"
Frazioni,"Busanca, Casa Cucchi, Serra del Monte, Zanrè"
Comuni confinanti,"Brignano-Frascata (AL), Godiasco Salice Terme, Gremiasco (AL), Momperone (AL), Ponte Nizza, Pozzol Groppo (AL)"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018042
Cod. catastale,C414
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 937 GG[3]"
Nome abitanti,cecimesi
Cartografia,Cartografia
Cecima,Cecima
Cecima – MappaPosizione del comune di Cecima nella provincia di Pavia,Cecima – MappaPosizione del comune di Cecima nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
