Corana comune,Corana comune.1
,
Corana – VedutaEntrata del paese,Corana – VedutaEntrata del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Vittorio Balduzzi (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°04′N 8°58′E
Altitudine,71 m s.l.m.
Superficie,"12,87 km²"
Abitanti,748[1] (30-11-2025)
Densità,"58,12 ab./km²"
Frazioni,Ghiaie
Comuni confinanti,"Cornale e Bastida, Cervesina, Pieve Albignola, Sannazzaro de' Burgondi, Silvano Pietra, Voghera, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018054
Cod. catastale,C982
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,coranesi
Patrono,Maria SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Corana,Corana
Corana – MappaPosizione del comune di Corana nella provincia di Pavia,Corana – MappaPosizione del comune di Corana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
