Zeccone comune,Zeccone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mariateresa Palestra (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°16′N 9°12′E
Altitudine,86 m s.l.m.
Superficie,"5,53 km²"
Abitanti,1 710[1] (30-11-2025)
Densità,"309,22 ab./km²"
Frazioni,Villareggio
Comuni confinanti,"Bornasco, Giussago, San Genesio ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018185
Cod. catastale,M152
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,zecconesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Zeccone,Zeccone
Zeccone – MappaPosizione del comune di Zeccone nella provincia di Pavia,Zeccone – MappaPosizione del comune di Zeccone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
