Colli Verdi comune,Colli Verdi comune.1
,
Colli Verdi – VedutaLa chiesa parrocchiale di Sant'Antonio abate della frazione Pometo di Ruino,Colli Verdi – VedutaLa chiesa parrocchiale di Sant'Antonio abate della frazione Pometo di Ruino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Capoluogo,Pometo
Sindaco,Sergio Lodigiani (lista civica di centro-destra Insieme per Colli Verdi) dal 26-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1-1-2019
Territorio,Territorio
Coordinate del capoluogo,44°55′39.29″N 9°16′34.88″E
Altitudine,526 m s.l.m.
Superficie,"41,25 km²"
Abitanti,975[1] (30-11-2025)
Densità,"23,64 ab./km²"
Frazioni,"Bozzola, Ca del Matto, Ca del Zerbo, Calghera, Canavera, Canevino, Carmine Passo, Carmine Bivio, Casa Andrini, Casa d'Agosto, Casa Porri, Casa Zanellino, Caseo, Colombara, Costa Trentini, Fontana, Mandasco, Moglio, Mombelli, Montelungo, Montù Berchielli, Pometo (sede comunale), Ruino, Torre degli Alberi, Valverde"
Comuni confinanti,"Alta Val Tidone (PC), Borgoratto Mormorolo, Fortunago, Montalto Pavese, Montecalvo Versiggia, Rocca de' Giorgi, Val di Nizza, Varzi, Volpara, Zavattarello"
Altre informazioni,Altre informazioni
Cod. postale,27061
Prefisso,0383 (ex comune di Valverde)  0385 (ex comuni di Canevino e Ruino)
Fuso orario,UTC+1
Codice ISTAT,018193
Cod. catastale,M419
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,Sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Pometo,Pometo
Colli Verdi – MappaPosizione del comune di Colli Verdi nella provincia di Pavia,Colli Verdi – MappaPosizione del comune di Colli Verdi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
