Cura Carpignano comune,Cura Carpignano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Germano Randazzo (lista civica RinnoviamocuraCarpignano) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 9°15′E
Altitudine,78 m s.l.m.
Superficie,"11,09 km²"
Abitanti,5 062[1] (30-11-2025)
Densità,"456,45 ab./km²"
Frazioni,"Borghetto, Calignano, Colombara-Vedria, Pescarona, Prado, Vimanone"
Comuni confinanti,"Albuzzano, Pavia, Roncaro, Sant'Alessio con Vialone, Valle Salimbene, Vistarino"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018060
Cod. catastale,B824
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,"Carpignanesi, Curesi"
Patrono,Madonna della Neve
Cartografia,Cartografia
Cura Carpignano,Cura Carpignano
Cura Carpignano – MappaPosizione del comune di Cura Carpignano nella provincia di Pavia,Cura Carpignano – MappaPosizione del comune di Cura Carpignano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
