Costa de' Nobili comune,Costa de' Nobili comune.1
,
Costa de' Nobili – Veduta,Costa de' Nobili – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Luigi Mario Boschetti (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°08′N 9°23′E
Altitudine,66 m s.l.m.
Superficie,"11,82 km²"
Abitanti,359[1] (30-11-2025)
Densità,"30,37 ab./km²"
Comuni confinanti,"Corteolona e Genzone, Pieve Porto Morone, San Zenone al Po, Santa Cristina e Bissone, Spessa, Torre de' Negri, Zerbo"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018058
Cod. catastale,D109
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,costesi
Cartografia,Cartografia
Costa de' Nobili,Costa de' Nobili
Costa de' Nobili – MappaPosizione del comune di Costa de' Nobili nella provincia di Pavia,Costa de' Nobili – MappaPosizione del comune di Costa de' Nobili nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
