Ceretto Lomellina comune,Ceretto Lomellina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giovanni Cattaneo (lista civica Per Ceretto) dal 13-6-2016
Territorio,Territorio
Coordinate,45°15′N 8°40′E
Altitudine,109 m s.l.m.
Superficie,"7,38 km²"
Abitanti,188[1] (30-11-2025)
Densità,"25,47 ab./km²"
Comuni confinanti,"Castello d'Agogna, Castelnovetto, Mortara, Nicorvo, Sant'Angelo Lomellina"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018044
Cod. catastale,C508
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,cerettesi
Patrono,San Pietro
Cartografia,Cartografia
Ceretto Lomellina,Ceretto Lomellina
Ceretto Lomellina – MappaPosizione del comune di Ceretto Lomellina nella provincia di Pavia,Ceretto Lomellina – MappaPosizione del comune di Ceretto Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
