Confienza comune,Confienza comune.1
,
Confienza – Veduta,Confienza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Francesco Della Torre (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,45°19′54.48″N 8°33′23.4″E
Altitudine,126 m s.l.m.
Superficie,"26,81 km²"
Abitanti,1 549[1] (30-11-2025)
Densità,"57,78 ab./km²"
Comuni confinanti,"Casalino (NO), Granozzo con Monticello (NO), Palestro, Robbio, Vespolate (NO), Vinzaglio (NO)"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018052
Cod. catastale,C958
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,"confienzesi, confienzini o confientini"
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Confienza,Confienza
Confienza – MappaPosizione del comune di Confienza nella provincia di Pavia,Confienza – MappaPosizione del comune di Confienza nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
