Broni comune,Broni comune.1
,
Broni – VedutaBasilica di S.Pietro,Broni – VedutaBasilica di S.Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonio Riviezzi (lista civica Unione civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°03′43″N 9°15′40″E
Altitudine,88 m s.l.m.
Superficie,"20,85 km²"
Abitanti,10 139[1] (30-11-2025)
Densità,"486,28 ab./km²"
Frazioni,"Casa Bernini, Cascina Monache, Casottelli, Cassino Po, Colombaia dei Ratti, Colombarone, Colombirola, Fontanile di Vescovera, Pirocco, Vescovera"
Comuni confinanti,"Barbianello, Campospinoso Albaredo, Canneto Pavese, Cigognola, Pietra de' Giorgi, Redavalle, San Cipriano Po, Stradella"
Altre informazioni,Altre informazioni
Cod. postale,27043
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018024
Cod. catastale,B201
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,bronesi
Patrono,san Contardo d'Este
Motto,(IT) Obbedienza alle leggi
Cartografia,Cartografia
Broni,Broni
Broni – MappaPosizione del comune di Broni nella provincia di Pavia,Broni – MappaPosizione del comune di Broni nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
