Mede comune,Mede comune.1
,
Mede – VedutaIl municipio,Mede – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giorgio Guardamagna (centro-destra) dal giugno 2016
Territorio,Territorio
Coordinate,45°05′49.13″N 8°44′12.76″E
Altitudine,93 m s.l.m.
Superficie,"32,89 km²"
Abitanti,6 099[1] (30-11-2025)
Densità,"185,44 ab./km²"
Frazioni,"Goido, Parzano, Tortorolo"
Comuni confinanti,"Frascarolo, Gambarana, Lomello, Pieve del Cairo, Sartirana Lomellina, Semiana, Torre Beretti e Castellaro, Villa Biscossi"
Altre informazioni,Altre informazioni
Cod. postale,27035
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018088
Cod. catastale,F080
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,medesi
Patrono,"san Marziano, san Martino"
Giorno festivo,quarta domenica di agosto
Cartografia,Cartografia
Mede,Mede
Mede – MappaPosizione del comune di Mede nella provincia di Pavia,Mede – MappaPosizione del comune di Mede nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
