Zerbo comune,Zerbo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Simona Fabris (vicesindaco f.f.)[1] (lista civica) dal 16-4-2022
Territorio,Territorio
Coordinate,45°06′37.67″N 9°23′45.81″E
Altitudine,68 m s.l.m.
Superficie,"6,36 km²"
Abitanti,401[2] (30-11-2025)
Densità,"63,05 ab./km²"
Comuni confinanti,"Arena Po, Costa de' Nobili, Pieve Porto Morone, San Zenone al Po"
Altre informazioni,Altre informazioni
Cod. postale,27017
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018188
Cod. catastale,M166
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 628 GG[4]"
Nome abitanti,zerbesi
Patrono,san Pietro
Giorno festivo,29 giugno e terza domenica di maggio
Cartografia,Cartografia
Zerbo,Zerbo
Zerbo – MappaPosizione del comune di Zerbo nella provincia di Pavia,Zerbo – MappaPosizione del comune di Zerbo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
