Castello d'Agogna comune,Castello d'Agogna comune.1
,
Castello d'Agogna – VedutaVeduta del castello,Castello d'Agogna – VedutaVeduta del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,William Grivel (lista civica) dal 10-6-2018
Territorio,Territorio
Coordinate,45°14′N 8°41′E
Altitudine,106 m s.l.m.
Superficie,"10,74 km²"
Abitanti,1 078[1] (30-11-2025)
Densità,"100,37 ab./km²"
Comuni confinanti,"Ceretto Lomellina, Mortara, Olevano di Lomellina, Sant'Angelo Lomellina, Zeme"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018039
Cod. catastale,C184
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,castellanesi
Patrono,santa Maria Bambina
Giorno festivo,8 settembre
Cartografia,Cartografia
Castello d'Agogna,Castello d'Agogna
Castello d'Agogna – MappaPosizione del comune di Castello d'Agogna nella provincia di Pavia,Castello d'Agogna – MappaPosizione del comune di Castello d'Agogna nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
