Mezzanino comune,Mezzanino comune.1
,
Mezzanino – VedutaLa chiesa parrocchiale della Natività di Maria Vergine,Mezzanino – VedutaLa chiesa parrocchiale della Natività di Maria Vergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Adriano Piras (lista civica) dal 10-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,45°07′26.37″N 9°12′30.48″E
Altitudine,62 m s.l.m.
Superficie,"12,51 km²"
Abitanti,1 398[1] (30-11-2025)
Densità,"111,75 ab./km²"
Frazioni,"Adda, Alberelli, Borrone, Busca, Calcedonia, Caldera, Cassinetta, Colombera, Maccabruna, Malpensata di Sopra, Malpensata di Sotto, Marossa, Oratorio, Palazzo, Tornello"
Comuni confinanti,"Campospinoso Albaredo, Casanova Lonati, Linarolo, Travacò Siccomario, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018092
Cod. catastale,F175
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,mezzaninesi
Patrono,santa Maria Nascente
Giorno festivo,8 settembre
Soprannome,Porta dell'Oltrepò Pavese
Cartografia,Cartografia
Mezzanino,Mezzanino
Mezzanino – MappaPosizione del comune di Mezzanino nella provincia di Pavia,Mezzanino – MappaPosizione del comune di Mezzanino nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
