Torrazza Coste comune,Torrazza Coste comune.1
,
Torrazza Coste – VedutaChiesa di San Carlo Borromeo,Torrazza Coste – VedutaChiesa di San Carlo Borromeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Dott.ssa Claudia Berutti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°57′46.39″N 9°05′50.63″E
Altitudine,159 m s.l.m.
Superficie,"16,23 km²"
Abitanti,1 606[1] (30-11-2025)
Densità,"98,95 ab./km²"
Frazioni,"Barisonzo, Buffalora, Cadelazzi, Casa Nuova, Castellaro, Colombara, Mogliazza, Nebbiolo, Pragate, Sant'Antonino, Trebbio"
Comuni confinanti,"Borgo Priolo, Codevilla, Montebello della Battaglia, Retorbido, Rocca Susella"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018155
Cod. catastale,L237
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 685 GG[3]"
Nome abitanti,Torrazzesi
Cartografia,Cartografia
Torrazza Coste,Torrazza Coste
Torrazza Coste – MappaPosizione del comune di Torrazza Coste nella provincia di Pavia,Torrazza Coste – MappaPosizione del comune di Torrazza Coste nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
