Gambarana comune,Gambarana comune.1
,
Gambarana – Veduta,Gambarana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Franco Alberto Cattaneo (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°02′N 8°46′E
Altitudine,83 m s.l.m.
Superficie,"11,78 km²"
Abitanti,174[1] (30-11-2025)
Densità,"14,77 ab./km²"
Frazioni,"Cambiò Nuovo, San Martino La Mandria"
Comuni confinanti,"Bassignana (AL), Frascarolo, Isola Sant'Antonio (AL), Mede, Pieve del Cairo, Suardi"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018067
Cod. catastale,D892
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,gambaranesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Gambarana,Gambarana
Gambarana – MappaPosizione del comune di Gambarana nella provincia di Pavia,Gambarana – MappaPosizione del comune di Gambarana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
