Rognano comune,Rognano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Davide Pinaschi (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°17′N 9°05′E
Altitudine,95 m s.l.m.
Superficie,"9,36 km²"
Abitanti,709[1] (30-11-2025)
Densità,"75,75 ab./km²"
Frazioni,"Soncino, Villarasca"
Comuni confinanti,"Battuda, Casarile (MI), Giussago, Trovo, Vellezzo Bellini, Vernate (MI)"
Altre informazioni,Altre informazioni
Cod. postale,27012
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018127
Cod. catastale,H491
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,rognanesi
Cartografia,Cartografia
Rognano,Rognano
Rognano – MappaPosizione del comune di Rognano nella provincia di Pavia,Rognano – MappaPosizione del comune di Rognano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
