Provincia di Pavia provincia,Provincia di Pavia provincia.1
,
"Provincia di Pavia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale.","Provincia di Pavia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Pavia
Presidente,Giovanni Palli (centro-destra) dal 19-12-2021
Data di istituzione,1776
Territorio,Territorio
Coordinate del capoluogo,45°11′N 9°09′E
Superficie,"2 968,64 km²"
Abitanti,545 506[1] (31-10-2025)
Densità,"183,76 ab./km²"
Comuni,184 comuni
Province confinanti,"Alessandria, Vercelli, Novara, Lodi, Piacenza, Milano"
Altre informazioni,Altre informazioni
Cod. postale,"27100, 27010-27059"
Prefisso,"02, 0381, 0382, 0383, 0384, 0385"
Fuso orario,UTC+1
ISO 3166-2,IT-PV
Codice ISTAT,018
Targa,PV
PIL procapite,(nominale) 25819 €[2]
Cartografia,Cartografia
Provincia di Pavia – Localizzazione,Provincia di Pavia – Localizzazione
Provincia di Pavia – MappaPosizione della provincia di Pavia all'interno della Lombardia.,Provincia di Pavia – MappaPosizione della provincia di Pavia all'interno della Lombardia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
