Travacò Siccomario comune,Travacò Siccomario comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Oscar Ragni (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°09′N 9°10′E
Altitudine,61 m s.l.m.
Superficie,"17,05 km²"
Abitanti,4 423[1] (30-11-2025)
Densità,"259,41 ab./km²"
Frazioni,"Battella, Bojocchi, Boschi, Boscone, Campolungo, Chiavica, Colombarone, Colonne, Costa Caroliana, Fornace, Frua, Maiolo, Marossa, Media, Mezzano Siccomario, Novella, Novello, Orologio, Rotta, Scotti, Valbona"
Comuni confinanti,"Cava Manara, Linarolo, Mezzanino, Pavia, Rea, San Martino Siccomario, Valle Salimbene, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018162
Cod. catastale,I236
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,travacolini
Cartografia,Cartografia
Travacò Siccomario,Travacò Siccomario
Travacò Siccomario – MappaPosizione del comune di Travacò Siccomario nella provincia di Pavia,Travacò Siccomario – MappaPosizione del comune di Travacò Siccomario nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
