Ottobiano comune,Ottobiano comune.1
,
Ottobiano – Veduta,Ottobiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Pier Angelo Cecchetto (Vicini Alla Gente Di Ottobiano (lista civica)) dal 10-6-2024
Territorio,Territorio
Coordinate,45°09′N 8°50′E
Altitudine,96 m s.l.m.
Superficie,"24,98 km²"
Abitanti,1 079[1] (30-11-2025)
Densità,"43,19 ab./km²"
Comuni confinanti,"Ferrera Erbognone, Lomello, San Giorgio di Lomellina, Tromello, Valeggio"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018106
Cod. catastale,G194
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,ottobianesi[4]
Patrono,S. Michele
Cartografia,Cartografia
Ottobiano,Ottobiano
Ottobiano – MappaPosizione del comune di Ottobiano nella provincia di Pavia,Ottobiano – MappaPosizione del comune di Ottobiano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
