Portalbera comune,Portalbera comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Maurizio Gramegna (lista civica) dal 13-10-2022
Territorio,Territorio
Coordinate,45°06′N 9°19′E
Altitudine,64 m s.l.m.
Superficie,"4,48 km²"
Abitanti,1 475[1] (30-11-2025)
Densità,"329,24 ab./km²"
Frazioni,San Pietro
Comuni confinanti,"Arena Po, Spessa, Stradella"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018118
Cod. catastale,G895
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,portalberesi
Cartografia,Cartografia
Portalbera,Portalbera
Portalbera – MappaPosizione del comune di Portalbera nella provincia di Pavia,Portalbera – MappaPosizione del comune di Portalbera nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
