Langosco comune,Langosco comune.1
,
Langosco – VedutaChiesa di San Martino,Langosco – VedutaChiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Margherita Tonetti (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°13′N 8°34′E
Altitudine,111 m s.l.m.
Superficie,"15,82 km²"
Abitanti,366[1] (30-11-2025)
Densità,"23,14 ab./km²"
Frazioni,"Bosco, San Paolo Leria, Santa Maria Bagnolo"
Comuni confinanti,"Candia Lomellina, Caresana (VC), Cozzo, Motta de' Conti (VC), Rosasco"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018079
Cod. catastale,E439
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 785 GG[3]"
Nome abitanti,langoschesi
Patrono,san Martino vescovo di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Langosco,Langosco
Langosco – MappaPosizione del comune di Langosco nella provincia di Pavia,Langosco – MappaPosizione del comune di Langosco nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
