Ferrera Erbognone comune,Ferrera Erbognone comune.1
,
Ferrera Erbognone – VedutaStazione,Ferrera Erbognone – VedutaStazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Riccardo Freddi (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°07′N 8°52′E
Altitudine,89 m s.l.m.
Superficie,"19,17 km²"
Abitanti,1 107[1] (30-11-2025)
Densità,"57,75 ab./km²"
Frazioni,Confalonera
Comuni confinanti,"Galliavola, Lomello, Mezzana Bigli, Ottobiano, Pieve del Cairo, Sannazzaro de' Burgondi, Scaldasole, Valeggio"
Altre informazioni,Altre informazioni
Cod. postale,27032
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018062
Cod. catastale,D552
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,ferrerini
Patrono,san Giovanni Battista (24 giugno)
Cartografia,Cartografia
Ferrera Erbognone,Ferrera Erbognone
Ferrera Erbognone – MappaPosizione del comune di Ferrera Erbognone nella provincia di Pavia,Ferrera Erbognone – MappaPosizione del comune di Ferrera Erbognone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
