Belgioioso comune,Belgioioso comune.1
,
Belgioioso – VedutaIl Castello di Belgioioso,Belgioioso – VedutaIl Castello di Belgioioso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Fabio Zucca (Con Zucca uniti per Belgioioso) dal 28-5-2019
Territorio,Territorio
Coordinate,45°10′N 9°19′E
Altitudine,75 m s.l.m.
Superficie,"24,69 km²"
Abitanti,6 445[1] (30-11-2025)
Densità,"261,04 ab./km²"
Frazioni,"San Giacomo della Cerreta, Santa Margherita, Zagonara"
Comuni confinanti,"Albuzzano, Campospinoso Albaredo, Corteolona e Genzone, Filighera, Linarolo, San Cipriano Po, Spessa, Torre de' Negri"
Altre informazioni,Altre informazioni
Cod. postale,27011
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018013
Cod. catastale,A741
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,belgioiosini/brüsa crist
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Belgioioso,Belgioioso
Belgioioso – MappaPosizione del comune di Belgioioso nella provincia di Pavia,Belgioioso – MappaPosizione del comune di Belgioioso nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
