Corvino San Quirico comune,Corvino San Quirico comune.1
,
Corvino San Quirico – VedutaChiesa di Corvino,Corvino San Quirico – VedutaChiesa di Corvino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Michele Lanati (lista Continua la svolta per Corvino) dal 09-06-2024
Territorio,Territorio
Coordinate,45°00′38″N 9°09′45″E
Altitudine,218 m s.l.m.
Superficie,"4,37 km²"
Abitanti,966[1] (30-11-2025)
Densità,"221,05 ab./km²"
Frazioni,"Casa Chiodi, Fumo, Mazzolino, Novellina, San Rocco, Cascina, Casa Castellini, Rivetta, Valle Straggini, Cà di Frè, Oratorio, Cordona, Fontana"
Comuni confinanti,"Calvignano, Casatisma, Casteggio, Oliva Gessi, Robecco Pavese, Torricella Verzate"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018057
Cod. catastale,D081
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 842 GG[3]"
Nome abitanti,corvinesi
Patrono,Madonna Immacolata
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Corvino San Quirico,Corvino San Quirico
Corvino San Quirico – MappaPosizione del comune di Corvino San Quirico nella provincia di Pavia,Corvino San Quirico – MappaPosizione del comune di Corvino San Quirico nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
