Garlasco comune,Garlasco comune.1
,
Garlasco – VedutaMunicipio,Garlasco – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Simone Molinari (Forza Italia Lega Nord lista civica Noi per Garlasco futura) dal 4-10-2021
Territorio,Territorio
Coordinate,45°12′N 8°55′E
Altitudine,93 m s.l.m.
Superficie,"39,18 km²"
Abitanti,9 663[1] (30-11-2025)
Densità,"246,63 ab./km²"
Frazioni,"Madonna della Bozzola, San Biagio, Località Fornazzo, Tenuta Valbona, Cascina Baraggia, Cascina Barbesina, Cascina Cabassa, Cascina Campaccio, Cascina Cantone, Cascina Ca'Nuova, Cascina Cappanella, Cascina Guala, Cascina Guastina, Cascina Pila del Lova, Cascina Scalina, Cascina Solferina, Cascina Valletto, Cascina Venturina"
Comuni confinanti,"Alagna, Borgo San Siro, Dorno, Gropello Cairoli, Tromello, Zerbolò"
Altre informazioni,Altre informazioni
Cod. postale,27026
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018069
Cod. catastale,D925
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,garlaschesi/garlaschini
Patrono,Beata Vergine Assunta
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Garlasco,Garlasco
Garlasco – MappaPosizione del comune di Garlasco nella provincia di Pavia,Garlasco – MappaPosizione del comune di Garlasco nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
