Landriano comune,Landriano comune.1
,
Landriano – Veduta,Landriano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Aguzzi (lista civica Landriano Futura) dal 09-06-2024
Territorio,Territorio
Coordinate,45°19′N 9°16′E
Altitudine,88 m s.l.m.
Superficie,"15,59 km²"
Abitanti,6 547[1] (30-11-2025)
Densità,"419,95 ab./km²"
Frazioni,Pairana
Comuni confinanti,"Bascapè, Carpiano (MI), Siziano, Torrevecchia Pia, Vidigulfo"
Altre informazioni,Altre informazioni
Cod. postale,27015
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018078
Cod. catastale,E437
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,landrianini o landrianesi
Patrono,san Vittore
Cartografia,Cartografia
Landriano,Landriano
Landriano – MappaPosizione del comune di Landriano nella provincia di Pavia,Landriano – MappaPosizione del comune di Landriano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
