Silvano Pietra comune,Silvano Pietra comune.1
,
Silvano Pietra – VedutaVeduta,Silvano Pietra – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paolo Mutti (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°02′N 8°57′E
Altitudine,83 m s.l.m.
Superficie,"13,67 km²"
Abitanti,621[1] (30-11-2025)
Densità,"45,43 ab./km²"
Comuni confinanti,"Casei Gerola, Corana, Cornale e Bastida, Mezzana Bigli, Sannazzaro de' Burgondi, Voghera"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018149
Cod. catastale,I739
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,silvanesi
Cartografia,Cartografia
Silvano Pietra,Silvano Pietra
Silvano Pietra – MappaPosizione del comune di Silvano Pietra nella provincia di Pavia,Silvano Pietra – MappaPosizione del comune di Silvano Pietra nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
