Casatisma comune,Casatisma comune.1
,
Casatisma – VedutaChiesa di San Guniforte,Casatisma – VedutaChiesa di San Guniforte
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Arpesella Alberto
Territorio,Territorio
Coordinate,45°03′N 9°08′E
Altitudine,77 m s.l.m.
Superficie,"5,48 km²"
Abitanti,851[1] (30-11-2025)
Densità,"155,29 ab./km²"
Comuni confinanti,"Bressana Bottarone, Casteggio, Castelletto di Branduzzo, Corvino San Quirico, Robecco Pavese, Verretto"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018032
Cod. catastale,B945
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,casatismesi
Patrono,san Guniforte
Cartografia,Cartografia
Casatisma,Casatisma
Casatisma – MappaPosizione del comune di Casatisma nella provincia di Pavia,Casatisma – MappaPosizione del comune di Casatisma nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
