Vidigulfo comune,Vidigulfo comune.1
,
Vidigulfo – Veduta,Vidigulfo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Pietro Aristide Sfondrini (FdI) dal 10-06-2024
Territorio,Territorio
Coordinate,45°18′N 9°14′E
Altitudine,88 m s.l.m.
Superficie,"16,14 km²"
Abitanti,6 843[1] (30-11-2025)
Densità,"423,98 ab./km²"
Frazioni,"Cavagnera, Mandrino, Pontelungo, Vairano"
Comuni confinanti,"Bornasco, Ceranova, Lacchiarella (MI), Landriano, Marzano, Siziano, Torrevecchia Pia"
Altre informazioni,Altre informazioni
Cod. postale,27018
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018176
Cod. catastale,L854
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,vidigulfini
Patrono,Maria Santissima Assunta
Cartografia,Cartografia
Vidigulfo,Vidigulfo
Vidigulfo – MappaPosizione del comune di Vidigulfo nella provincia di Pavia,Vidigulfo – MappaPosizione del comune di Vidigulfo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
