Sant'Alessio con Vialone comune,Sant'Alessio con Vialone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Ivana Maria Cartani' (lista civica ObiettivoComune) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 9°13′E
Altitudine,83 m s.l.m.
Superficie,"6,56 km²"
Abitanti,1 056[1] (30-11-2025)
Densità,"160,98 ab./km²"
Frazioni,"Ca' de' Zetti, Vialone, Novella, Cassinetta, Lossano, Bettolino e Guardabiate"
Comuni confinanti,"Bornasco, Cura Carpignano, Lardirago, Pavia, Roncaro, San Genesio ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,27016
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018141
Cod. catastale,I213
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,santalessini
Patrono,Alessio di Roma
Giorno festivo,17 luglio
PIL procapite,(nominale) 26.079 €[4]
Cartografia,Cartografia
Sant'Alessio con Vialone,Sant'Alessio con Vialone
Sant'Alessio con Vialone – MappaPosizione del comune di Sant'Alessio con Vialone nella provincia di Pavia,Sant'Alessio con Vialone – MappaPosizione del comune di Sant'Alessio con Vialone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
