Bagnaria comune,Bagnaria comune.1
,
Bagnaria – Veduta,Bagnaria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mattia Franza (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°50′N 9°07′E
Altitudine,333 m s.l.m.
Superficie,"16,66 km²"
Abitanti,621[1] (30-11-2025)
Densità,"37,27 ab./km²"
Frazioni,"Casa Arcano, Casa Galeotti, Casa Massone, Livelli, Ponte Crenna, Spizzirò, Torretta, Mutti, Moglia, Coriola"
Comuni confinanti,"Gremiasco (AL), Ponte Nizza, Varzi"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018007
Cod. catastale,A550
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 911 GG[3]"
Nome abitanti,bagnaresi
Cartografia,Cartografia
Bagnaria,Bagnaria
Bagnaria – MappaPosizione del comune di Bagnaria nella provincia di Pavia,Bagnaria – MappaPosizione del comune di Bagnaria nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
