Gravellona Lomellina comune,Gravellona Lomellina comune.1
,
Gravellona Lomellina – VedutaVeduta,Gravellona Lomellina – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Lavinia Incardona (Commissario prefettizio) dal 17-2-2026
Territorio,Territorio
Coordinate,45°20′N 8°46′E
Altitudine,118 m s.l.m.
Superficie,"20,34 km²"
Abitanti,2 702[1] (30-11-2025)
Densità,"132,84 ab./km²"
Frazioni,Barbavara
Comuni confinanti,"Cassolnovo, Cilavegna, Tornaco (NO), Vigevano, Borgolavezzaro (NO)"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0381
Fuso orario,UTC+1
Codice ISTAT,018075
Cod. catastale,E152
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,gravellonesi
Patrono,San Faustino
Giorno festivo,Prima domenica di Giugno
Cartografia,Cartografia
Gravellona Lomellina,Gravellona Lomellina
Gravellona Lomellina – MappaPosizione del comune di Gravellona Lomellina nella provincia di Pavia,Gravellona Lomellina – MappaPosizione del comune di Gravellona Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
