Torricella Verzate comune,Torricella Verzate comune.1
,
Torricella Verzate – VedutaSantuario di Torricella,Torricella Verzate – VedutaSantuario di Torricella
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Marco Sensale (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°01′N 9°10′E
Altitudine,160 m s.l.m.
Superficie,"3,63 km²"
Abitanti,797[1] (30-11-2025)
Densità,"219,56 ab./km²"
Frazioni,"Bosco Madio, Verzate"
Comuni confinanti,"Corvino San Quirico, Mornico Losana, Oliva Gessi, Robecco Pavese, Santa Giuletta"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018161
Cod. catastale,L292
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,torricellesi
Cartografia,Cartografia
Torricella Verzate,Torricella Verzate
Torricella Verzate – MappaPosizione del comune di Torricella Verzate nella provincia di Pavia,Torricella Verzate – MappaPosizione del comune di Torricella Verzate nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
