Vigevano comune,Vigevano comune.1
,
Vigevano – VedutaPiazza Ducale,Vigevano – VedutaPiazza Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Ceffa (Lega per Salvini Premier) dal 20-10-2020
Territorio,Territorio
Coordinate,45°19′N 8°52′E
Altitudine,116 m s.l.m.
Superficie,"81,37 km²"
Abitanti,63 489[1] (30-11-2025)
Densità,"780,25 ab./km²"
Frazioni,"Buccella, Fogliano, Morsella, Piccolini, Sforzesca"
Comuni confinanti,"Abbiategrasso (MI), Bereguardo, Besate (MI), Borgo San Siro, Cassolnovo, Cilavegna, Gambolò, Gravellona Lomellina, Morimondo (MI), Mortara, Motta Visconti (MI), Parona"
Altre informazioni,Altre informazioni
Cod. postale,27029
Prefisso,0381
Fuso orario,UTC+1
Codice ISTAT,018177
Cod. catastale,L872
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 544 GG[3]"
Nome abitanti,vigevanesi
Patrono,"sant'Ambrogio, beato Matteo Carreri (patrono secondario)[4]"
Giorno festivo,lunedì dopo la seconda domenica di ottobre
Cartografia,Cartografia
Vigevano,Vigevano
Vigevano – MappaPosizione del comune di Vigevano nella provincia di Pavia,Vigevano – MappaPosizione del comune di Vigevano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
