Valle Lomellina comune,Valle Lomellina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Bertassi (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°09′N 8°40′E
Altitudine,101 m s.l.m.
Superficie,"27,24 km²"
Abitanti,2 229[1] (30-11-2025)
Densità,"81,83 ab./km²"
Comuni confinanti,"Breme, Candia Lomellina, Cozzo, Sartirana Lomellina, Semiana, Zeme"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018168
Cod. catastale,L593
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 812 GG[3]"
Nome abitanti,vallesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Valle Lomellina,Valle Lomellina
Valle Lomellina – MappaPosizione del comune di Valle Lomellina nella provincia di Pavia,Valle Lomellina – MappaPosizione del comune di Valle Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
