Volpara comune,Volpara comune.1
,
Volpara – VedutaChiesa di Volpara,Volpara – VedutaChiesa di Volpara
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Claudio Mangiarotti (lista civica) dal 1-7-2019
Territorio,Territorio
Coordinate,44°57′13″N 9°17′51″E
Altitudine,357 m s.l.m.
Superficie,"3,77 km²"
Abitanti,131[1] (30-11-2025)
Densità,"34,75 ab./km²"
Comuni confinanti,"Alta Val Tidone (PC), Colli Verdi, Golferenzo, Montecalvo Versiggia"
Altre informazioni,Altre informazioni
Cod. postale,27047
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018183
Cod. catastale,M119
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 968 GG[3]"
Nome abitanti,volparesi
Cartografia,Cartografia
Volpara,Volpara
Volpara – MappaPosizione del comune di Volpara nella provincia di Pavia,Volpara – MappaPosizione del comune di Volpara nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
