Spessa comune,Spessa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Debora Borgognoni (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°07′N 9°21′E
Altitudine,61 m s.l.m.
Superficie,"12,23 km²"
Abitanti,567[1] (30-11-2025)
Densità,"46,36 ab./km²"
Frazioni,"Sostegno, Spessetta Balbiani"
Comuni confinanti,"Arena Po, Belgioioso, Costa de' Nobili, Portalbera, San Cipriano Po, San Zenone al Po, Stradella, Torre de' Negri"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018152
Cod. catastale,I894
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,spessini
Motto,(LA) Flectimur non frangimur undis
Cartografia,Cartografia
Spessa,Spessa
Spessa – MappaPosizione del comune di Spessa nella provincia di Pavia,Spessa – MappaPosizione del comune di Spessa nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
