Olevano di Lomellina comune,Olevano di Lomellina comune.1
,
Olevano di Lomellina – Veduta,Olevano di Lomellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Luca Mondin (lista civica Cambiamo Olevano) dal 7-6-2009
Territorio,Territorio
Coordinate,45°12′45″N 8°43′00″E
Altitudine,105 m s.l.m.
Superficie,"15,38 km²"
Abitanti,724[1] (30-11-2025)
Densità,"47,07 ab./km²"
Frazioni,"Cascina Battaglia, Cascina Bianca, Cascina Melegnana, Cascina Paronina, Cascina Vallazza"
Comuni confinanti,"Castello d'Agogna, Cergnago, Mortara, Velezzo Lomellina, Zeme"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018104
Cod. catastale,G021
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,olevanesi
Patrono,san Michele Arcangelo
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Olevano di Lomellina,Olevano di Lomellina
Olevano di Lomellina – MappaPosizione del comune di Olevano di Lomellina nella provincia di Pavia,Olevano di Lomellina – MappaPosizione del comune di Olevano di Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
