Pieve Albignola comune,Pieve Albignola comune.1
,
Pieve Albignola – VedutaStazione,Pieve Albignola – VedutaStazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Yuri Bruni dal 9-6-2024
Territorio,Territorio
Coordinate,45°06′10.5″N 8°57′50.23″E
Altitudine,85 m s.l.m.
Superficie,"18,15 km²"
Abitanti,792[1] (30-11-2025)
Densità,"43,64 ab./km²"
Frazioni,Cascinotto Mensa
Comuni confinanti,"Corana, Dorno, Sannazzaro de' Burgondi, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018112
Cod. catastale,G635
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,pievesi
Patrono,SS. Pietro e Paolo
Cartografia,Cartografia
Pieve Albignola,Pieve Albignola
Pieve Albignola – MappaPosizione del comune di Pieve Albignola nella provincia di Pavia,Pieve Albignola – MappaPosizione del comune di Pieve Albignola nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
