Vellezzo Bellini comune,Vellezzo Bellini comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Graziano Boriotti (lista civica Agorà) dal 1-6-2015
Territorio,Territorio
Coordinate,45°16′N 9°06′E
Altitudine,94 m s.l.m.
Superficie,"8,2 km²"
Abitanti,3 530[1] (30-11-2025)
Densità,"430,49 ab./km²"
Frazioni,"Giovenzano, Montalbano, Origioso, Osteriette, Pellegrina, Rebecchino"
Comuni confinanti,"Battuda, Certosa di Pavia, Giussago, Marcignago, Rognano"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018173
Cod. catastale,L720
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,vellezzini
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Vellezzo Bellini,Vellezzo Bellini
Vellezzo Bellini – MappaPosizione del comune di Vellezzo Bellini nella provincia di Pavia,Vellezzo Bellini – MappaPosizione del comune di Vellezzo Bellini nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
