Gambolò città,Gambolò città.1
,
Gambolò – VedutaUn tratto di mura del castello,Gambolò – VedutaUn tratto di mura del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonio Costantino (Lega Nord/FI/liste civiche) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°15′31″N 8°51′53″E
Altitudine,104 m s.l.m.
Superficie,"51,7 km²"
Abitanti,9 824[1] (30-11-2025)
Densità,"190,02 ab./km²"
Frazioni,"Belcreda, Garbana, Giarretto, Molino d'Isella, Remondò, Stradella"
Comuni confinanti,"Borgo San Siro, Mortara, Tromello, Vigevano"
Altre informazioni,Altre informazioni
Cod. postale,27025; 27033 (Garbana)
Prefisso,0381
Fuso orario,UTC+1
Codice ISTAT,018068
Cod. catastale,D901
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,gambolini
Patrono,san Getulio
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Gambolò,Gambolò
Gambolò – MappaPosizione del comune di Gambolò nella provincia di Pavia,Gambolò – MappaPosizione del comune di Gambolò nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
