Fortunago comune,Fortunago comune.1
,
Fortunago – Veduta,Fortunago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Achille Lanfranchi (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,44°55′N 9°11′E
Altitudine,482 m s.l.m.
Superficie,"17,83 km²"
Abitanti,366[1] (30-11-2025)
Densità,"20,53 ab./km²"
Frazioni,"Cappelletta, Colombara, Costa Cavalieri, Costa Galeazzi, Gravanago, Molino della Signora, Sant'Eusebio, Scagni"
Comuni confinanti,"Borgo Priolo, Borgoratto Mormorolo, Colli Verdi, Montesegale, Val di Nizza"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018064
Cod. catastale,D732
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 962 GG[3]"
Nome abitanti,fortunaghesi
Cartografia,Cartografia
Fortunago,Fortunago
Fortunago – MappaPosizione del comune di Fortunago nella provincia di Pavia,Fortunago – MappaPosizione del comune di Fortunago nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
