Oliva Gessi comune,Oliva Gessi comune.1
,
Oliva Gessi – Veduta,Oliva Gessi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Defilippi (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°00′N 9°11′E
Altitudine,245 m s.l.m.
Superficie,"3,91 km²"
Abitanti,163[1] (30-11-2025)
Densità,"41,69 ab./km²"
Frazioni,"Gessi, Rosso"
Comuni confinanti,"Calvignano, Casteggio, Corvino San Quirico, Montalto Pavese, Mornico Losana, Torricella Verzate"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018105
Cod. catastale,G032
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 944 GG[3]"
Nome abitanti,olivesi
Motto,(LA) Constantia et Fide
Cartografia,Cartografia
Oliva Gessi,Oliva Gessi
Oliva Gessi – MappaPosizione del comune di Oliva Gessi nella provincia di Pavia,Oliva Gessi – MappaPosizione del comune di Oliva Gessi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
