Sannazzaro de' Burgondi comune,Sannazzaro de' Burgondi comune.1
,
Sannazzaro de' Burgondi – VedutaLa parrocchiale dei santi Nazario e Celso (XV secolo),Sannazzaro de' Burgondi – VedutaLa parrocchiale dei santi Nazario e Celso (XV secolo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Zucca (lista civica di centro-destra Finalmente città) dal 5-6-2016
Territorio,Territorio
Coordinate,45°06′14″N 8°54′32″E
Altitudine,87 m s.l.m.
Superficie,"23,33 km²"
Abitanti,5 229[1] (30-11-2025)
Densità,"224,13 ab./km²"
Frazioni,"Buscarella, Mezzano, Savasini"
Comuni confinanti,"Corana, Cornale e Bastida, Dorno, Ferrera Erbognone, Mezzana Bigli, Pieve Albignola, Scaldasole, Silvano Pietra"
Altre informazioni,Altre informazioni
Cod. postale,27039
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018138
Cod. catastale,I048
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,sannazzaresi
Patrono,SS. Nazario e Celso
Cartografia,Cartografia
Sannazzaro de' Burgondi,Sannazzaro de' Burgondi
Sannazzaro de' Burgondi – MappaPosizione del comune di Sannazzaro de' Burgondi nella provincia di Pavia,Sannazzaro de' Burgondi – MappaPosizione del comune di Sannazzaro de' Burgondi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
