Golferenzo comune,Golferenzo comune.1
,
Golferenzo – Veduta,Golferenzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Claudio Scabini (lista civica) dal 14-6-2004
Territorio,Territorio
Coordinate,44°57′43.41″N 9°18′23″E
Altitudine,464 m s.l.m.
Superficie,"4,42 km²"
Abitanti,162[1] (30-11-2025)
Densità,"36,65 ab./km²"
Frazioni,"Casa Guastoni, Casa Pegorini, Casa Scagni, Chiappeto, Gerbidi, Molinello"
Comuni confinanti,"Alta Val Tidone (PC), Montecalvo Versiggia, Santa Maria della Versa, Volpara"
Altre informazioni,Altre informazioni
Cod. postale,27047
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018074
Cod. catastale,E081
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 003 GG[3]"
Nome abitanti,golferenzesi
Patrono,Madonna del Rosario e San Michele Arcangelo
Giorno festivo,Prima domenica di ottobre
Cartografia,Cartografia
Golferenzo,Golferenzo
Golferenzo – MappaPosizione del comune di Golferenzo nella provincia di Pavia,Golferenzo – MappaPosizione del comune di Golferenzo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
