Gerenzago comune,Gerenzago comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Abramo Marinoni (Vivi Gerenzago) dal 26-5-2019
Territorio,Territorio
Coordinate,45°12′N 9°22′E
Altitudine,74 m s.l.m.
Superficie,"5,41 km²"
Abitanti,1 493[1] (30-11-2025)
Densità,"275,97 ab./km²"
Frazioni,"Cascina Castellere, Cascina Mellana, Galbere"
Comuni confinanti,"Copiano, Corteolona e Genzone, Inverno e Monteleone, Magherno, Villanterio"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018071
Cod. catastale,D980
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,"Gerenzaghesi, Müj (Muli)"
Patrono,"santa Pudenziana, san Mauro"
Giorno festivo,"3ª domenica di maggio, 15 gennaio"
Motto,(LA) FORTITUDO TIMOREM PELLIT
Cartografia,Cartografia
Gerenzago,Gerenzago
Gerenzago – MappaPosizione del comune di Gerenzago nella provincia di Pavia,Gerenzago – MappaPosizione del comune di Gerenzago nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
