Zinasco comune,Zinasco comune.1
,
Zinasco – VedutaVeduta della via Polini a Zinasco Nuovo,Zinasco – VedutaVeduta della via Polini a Zinasco Nuovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Massimo Nascimbene (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°08′N 9°03′E
Altitudine,84 m s.l.m.
Superficie,"29,74 km²"
Abitanti,3 183[1] (30-11-2025)
Densità,"107,03 ab./km²"
Frazioni,"Bombardone, Cascinino, Sairano, Zinasco Nuovo, Zinasco Vecchio"
Comuni confinanti,"Bastida Pancarana, Carbonara al Ticino, Cava Manara, Cervesina, Corana, Dorno, Gropello Cairoli, Mezzana Rabattone, Pancarana, Pieve Albignola, Sommo, Villanova d'Ardenghi"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018190
Cod. catastale,M180
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,zinaschesi
Patrono,"sant'Antonio abate (Zinasco Vecchio), san Giovanni evangelista (Zinasco Nuovo), Sant'Alessandro martire (Sairano) e san Giuseppe (Cascinino e Bombardone)"
Cartografia,Cartografia
Zinasco,Zinasco
Zinasco – MappaPosizione del comune di Zinasco nella provincia di Pavia,Zinasco – MappaPosizione del comune di Zinasco nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
