Canneto Pavese comune,Canneto Pavese comune.1
,
Canneto Pavese – Veduta,Canneto Pavese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Francesca Panizzari (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°03′N 9°17′E
Altitudine,233 m s.l.m.
Superficie,"5,81 km²"
Abitanti,1 282[1] (30-11-2025)
Densità,"220,65 ab./km²"
Frazioni,"Beria, Ca' Bassa, Caccialupo, Colombarone, Montebruciato, Monteveneroso, Montù de' Gabbi, Casa Bazzini, Casa Zangobbi, Serra, Fornace, Vergomberra, Vigalone"
Comuni confinanti,"Broni, Castana, Cigognola, Montescano, Montù Beccaria, Stradella"
Altre informazioni,Altre informazioni
Cod. postale,27044
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018029
Cod. catastale,B613
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 878 GG[3]"
Nome abitanti,cannetesi
Cartografia,Cartografia
Canneto Pavese,Canneto Pavese
Canneto Pavese – MappaPosizione del comune di Canneto Pavese nella provincia di Pavia,Canneto Pavese – MappaPosizione del comune di Canneto Pavese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
