Giussago comune,Giussago comune.1
,
Giussago – Veduta,Giussago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Albino Suardi (lista civica Insieme per Giussago #2030) dal 12-6-2022
Territorio,Territorio
Coordinate,45°17′05.16″N 9°08′26.7″E
Altitudine,91 m s.l.m.
Superficie,24 km²
Abitanti,5 388[1] (30-11-2025)
Densità,"224,5 ab./km²"
Frazioni,"Baselica Bologna, Carpignago, Casatico, Cascina Dàrsena, Guinzano, Liconasco, Molino dei Protti, Moriago, Nivolto, Novedo, Ronchetto, Turago Bordone, Villanova de' Beretti"
Comuni confinanti,"Borgarello, Bornasco, Casarile (MI), Certosa di Pavia, Lacchiarella (MI), Rognano, San Genesio ed Uniti, Siziano, Vellezzo Bellini, Zeccone"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018072
Cod. catastale,E062
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,giussaghini
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Giussago,Giussago
Giussago – MappaPosizione del comune di Giussago nella provincia di Pavia,Giussago – MappaPosizione del comune di Giussago nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
