Mezzana Bigli comune,Mezzana Bigli comune.1
,
Mezzana Bigli – VedutaIl ponte della Gerola sul fiume Po,Mezzana Bigli – VedutaIl ponte della Gerola sul fiume Po
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Vittore Ghiroldi (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°03′37″N 8°51′00″E
Altitudine,76 m s.l.m.
Superficie,"19,02 km²"
Abitanti,1 060[1] (30-11-2025)
Densità,"55,73 ab./km²"
Frazioni,"Balossa Bigli, Casoni Borroni, Erbatici, Isola Barbieri, Messora, Terzo, Colonna"
Comuni confinanti,"Casei Gerola, Cornale e Bastida, Ferrera Erbognone, Isola Sant'Antonio (AL), Pieve del Cairo, Sannazzaro de' Burgondi, Silvano Pietra"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018090
Cod. catastale,F170
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,mezzanesi
Patrono,san Giovanni Battista
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Mezzana Bigli,Mezzana Bigli
Mezzana Bigli – MappaPosizione del comune di Mezzana Bigli nella provincia di Pavia,Mezzana Bigli – MappaPosizione del comune di Mezzana Bigli nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
