Zerbolò comune,Zerbolò comune.1
,
Zerbolò – VedutaVeduta,Zerbolò – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gian Antonio Centenara (lista civica “Buon senso in comune”) dal 26-5-2019
Territorio,Territorio
Coordinate,45°12′N 9°01′E
Altitudine,68 m s.l.m.
Superficie,"37,19 km²"
Abitanti,1 705[1] (30-11-2025)
Densità,"45,85 ab./km²"
Frazioni,"Beniola, Boscaccio, Boschetti, Busalarga, Cadisana, Caselle, Chiarello, Dosso, Freddo, Gaviola, Guasta, Limido, Malpaga, Marzo, Mezzanone, Michelina, Occhio, Parasacco, Pavonara, Sedone, Sogna, Validone, Venara, Vipere"
Comuni confinanti,"Bereguardo, Borgo San Siro, Carbonara al Ticino, Garlasco, Gropello Cairoli, Torre d'Isola, Villanova d'Ardenghi"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018189
Cod. catastale,M167
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,zerbolesi
Patrono,San Bartolomeo
Cartografia,Cartografia
Zerbolò,Zerbolò
Zerbolò – MappaPosizione del comune di Zerbolò nella provincia di Pavia,Zerbolò – MappaPosizione del comune di Zerbolò nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
