Gropello Cairoli comune,Gropello Cairoli comune.1
,
Gropello Cairoli – VedutaIl castello,Gropello Cairoli – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Elisa Olga Bergamaschi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°10′38.14″N 8°59′32.71″E
Altitudine,89 m s.l.m.
Superficie,"26,22 km²"
Abitanti,4 372[1] (30-11-2025)
Densità,"166,74 ab./km²"
Frazioni,"Ca' Rossa, Cascina Annunciata, Cascina Giovannetti, Cascina Lupa, Cascina Malpensata, Cascina Miradolo, Cascina Molinetto, Cascina Suero, Cascina Vergnona, Morgarolo, Ronco Gennaro, San Massimo, Cielo alto e Santo Spirito"
Comuni confinanti,"Dorno, Garlasco, Villanova d'Ardenghi, Zerbolò, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27027
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018076
Cod. catastale,E195
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,gropellesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Gropello Cairoli,Gropello Cairoli
Gropello Cairoli – MappaPosizione del comune di Gropello Cairoli nella provincia di Pavia,Gropello Cairoli – MappaPosizione del comune di Gropello Cairoli nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
