Codevilla comune,Codevilla comune.1
,
Codevilla – VedutaVeduta,Codevilla – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Marco Pietro Dapiaggi (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°58′N 9°03′E
Altitudine,146 m s.l.m.
Superficie,"12,96 km²"
Abitanti,911[1] (30-11-2025)
Densità,"70,29 ab./km²"
Frazioni,"Casareggio, Garlassolo di Sotto, Mondondone, Piana, Pontazzo, Rasei"
Comuni confinanti,"Montebello della Battaglia, Retorbido, Torrazza Coste, Voghera"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018051
Cod. catastale,C813
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 685 GG[3]"
Nome abitanti,codevillesi
Patrono,san Bernardo
Cartografia,Cartografia
Codevilla,Codevilla
Codevilla – MappaPosizione del comune di Codevilla nella provincia di Pavia,Codevilla – MappaPosizione del comune di Codevilla nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
