Palestro comune,Palestro comune.1
,
Palestro – VedutaL'ossario monumentale a ricordo della battaglia di Palestro,Palestro – VedutaL'ossario monumentale a ricordo della battaglia di Palestro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,"Paola Franzo (lista civica Sostenere Palestro ""La Colonna"") dal 10-06-2024"
Territorio,Territorio
Coordinate,45°18′N 8°32′E
Altitudine,121 m s.l.m.
Superficie,"18,81 km²"
Abitanti,1 891[1] (30-11-2025)
Densità,"100,53 ab./km²"
Frazioni,Pizzarosto
Comuni confinanti,"Confienza, Pezzana (VC), Prarolo (VC), Robbio, Rosasco, Vercelli (VC), Vinzaglio (NO)"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,"0384, 0161 per la frazione Pizzarosto"
Fuso orario,UTC+1
Codice ISTAT,018107
Cod. catastale,G275
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,palestresi
Patrono,San Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Palestro,Palestro
Palestro – MappaPosizione del comune di Palestro nella provincia di Pavia,Palestro – MappaPosizione del comune di Palestro nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
