Lardirago comune,Lardirago comune.1
,
"Lardirago – VedutaLardirago, uno scorcio del castello","Lardirago – VedutaLardirago, uno scorcio del castello"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Cristiano Migliavacca (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,45°14′N 9°14′E
Altitudine,83 m s.l.m.
Superficie,"5,34 km²"
Abitanti,1 163[1] (30-11-2025)
Densità,"217,79 ab./km²"
Comuni confinanti,"Bornasco, Ceranova, Marzano, Roncaro, Sant'Alessio con Vialone"
Altre informazioni,Altre informazioni
Cod. postale,27016
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018080
Cod. catastale,E454
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,lardiraghesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Lardirago,Lardirago
Lardirago – MappaPosizione del comune di Lardirago nella provincia di Pavia,Lardirago – MappaPosizione del comune di Lardirago nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
