Monticelli Pavese comune,Monticelli Pavese comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Samanta Pasqualin (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°07′N 9°31′E
Altitudine,53 m s.l.m.
Superficie,"20,19 km²"
Abitanti,669[1] (30-11-2025)
Densità,"33,14 ab./km²"
Frazioni,"Bosco Soncina, Cantarana, Gabbiane, Nizzolaro"
Comuni confinanti,"Badia Pavese, Calendasco (PC), Chignolo Po, Orio Litta (LO), Pieve Porto Morone, Rottofreno (PC), Sarmato (PC)"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018099
Cod. catastale,F670
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,monticellesi
Patrono,santa Croce
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Monticelli Pavese,Monticelli Pavese
Monticelli Pavese – MappaPosizione del comune di Monticelli Pavese nella provincia di Pavia,Monticelli Pavese – MappaPosizione del comune di Monticelli Pavese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
