Torre d'Arese comune,Torre d'Arese comune.1
,
Torre d'Arese – Veduta,Torre d'Arese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Graziano Molina (lista civica) dal 25-6-2014
Territorio,Territorio
Coordinate,45°14′13.02″N 9°19′12.94″E
Altitudine,78 m s.l.m.
Superficie,"4,49 km²"
Abitanti,947[1] (30-11-2025)
Densità,"210,91 ab./km²"
Frazioni,"Cascina Maggiore, Torre Sopra, Castellazzo, Lambrino, Morivione, Montecatini"
Comuni confinanti,"Magherno, Marzano, Valera Fratta (LO), Villanterio, Vistarino"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018157
Cod. catastale,L256
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,torredaresini
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Torre d'Arese,Torre d'Arese
Torre d'Arese – MappaPosizione del comune di Torre d'Arese nella provincia di Pavia,Torre d'Arese – MappaPosizione del comune di Torre d'Arese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
