Corteolona e Genzone comune,Corteolona e Genzone comune.1
,
Corteolona e Genzone – VedutaSede Municipio a Corteolona - Palazzo d'Este,Corteolona e Genzone – VedutaSede Municipio a Corteolona - Palazzo d'Este
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Capoluogo,Corteolona
Sindaco,Angelo Dossena (lista civica di centro-destra)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate del capoluogo,45°09′N 9°22′E
Altitudine,71 m s.l.m.
Superficie,"14,09[1] km²"
Abitanti,2 567[2] (30-11-2025)
Densità,"182,19 ab./km²"
Frazioni,Genzone
Comuni confinanti,"Belgioioso, Copiano, Costa de' Nobili, Filighera, Gerenzago, Inverno e Monteleone, Santa Cristina e Bissone, Torre de' Negri"
Altre informazioni,Altre informazioni
Cod. postale,27014
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018192
Cod. catastale,M372
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 623 GG[4]"
Nome abitanti,corteolonesi e genzonini
Patrono,santo Stefano
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Corteolona,Corteolona
Corteolona e Genzone – MappaPosizione del comune di Corteolona e Genzone nella provincia di Pavia,Corteolona e Genzone – MappaPosizione del comune di Corteolona e Genzone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
