Magherno comune,Magherno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giovanni Amato (lista civica Progetto Magherno) dal 12-6-2017
Territorio,Territorio
Coordinate,45°13′N 9°20′E
Altitudine,76 m s.l.m.
Superficie,"5,25 km²"
Abitanti,1 805[1] (30-11-2025)
Densità,"343,81 ab./km²"
Frazioni,"Cascinetto, Isola"
Comuni confinanti,"Copiano, Gerenzago, Torre d'Arese, Villanterio, Vistarino"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018085
Cod. catastale,E804
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,Maghernini
Patrono,San Zeno di Verona
Giorno festivo,Prima Domenica di Maggio
Cartografia,Cartografia
Magherno,Magherno
Magherno – MappaPosizione del comune di Magherno nella provincia di Pavia,Magherno – MappaPosizione del comune di Magherno nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
