Valeggio comune,Valeggio comune.1
,
Valeggio – Veduta,Valeggio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Luigi Tasso dal 09-06-2024
Territorio,Territorio
Coordinate,45°09′N 8°52′E
Altitudine,93 m s.l.m.
Superficie,"9,85 km²"
Abitanti,190[1] (30-11-2025)
Densità,"19,29 ab./km²"
Comuni confinanti,"Alagna, Dorno, Ferrera Erbognone, Ottobiano, Scaldasole, Tromello"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018167
Cod. catastale,L568
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,valeggesi
Patrono,SS. Pietro e Paolo
Cartografia,Cartografia
Valeggio,Valeggio
Valeggio – MappaPosizione del comune di Valeggio nella provincia di Pavia,Valeggio – MappaPosizione del comune di Valeggio nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
