Casei Gerola comune,Casei Gerola comune.1
,
Casei Gerola – VedutaChiesa parrocchiale in una xilografia,Casei Gerola – VedutaChiesa parrocchiale in una xilografia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Leonardo Tartara (lista civica di centrodestra) dal 26-5-2019
Territorio,Territorio
Coordinate,45°00′22.13″N 8°55′37.16″E
Altitudine,81 m s.l.m.
Superficie,"24,81 km²"
Abitanti,2 314[1] (30-11-2025)
Densità,"93,27 ab./km²"
Frazioni,Gerola Nuova
Comuni confinanti,"Castelnuovo Scrivia (AL), Cornale e Bastida, Isola Sant'Antonio (AL), Mezzana Bigli, Molino dei Torti (AL), Pontecurone (AL), Silvano Pietra, Voghera"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018033
Cod. catastale,B954
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,casellesi
Patrono,san Fortunato di Casei
Giorno festivo,3ª domenica di ottobre
Cartografia,Cartografia
Casei Gerola,Casei Gerola
Casei Gerola – MappaPosizione del comune di Casei Gerola nella provincia di Pavia,Casei Gerola – MappaPosizione del comune di Casei Gerola nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
