Pinarolo Po comune,Pinarolo Po comune.1
,
Pinarolo Po – VedutaTorre del castello,Pinarolo Po – VedutaTorre del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giuseppe Villani (Partito Democratico - [lista civica] lista aperta per il progresso) dal 3-2-2021
Territorio,Territorio
Coordinate,45°04′44.09″N 9°10′16.61″E
Altitudine,67 m s.l.m.
Superficie,"11,31 km²"
Abitanti,1 653[1] (30-11-2025)
Densità,"146,15 ab./km²"
Frazioni,"Ca de' Giorgi, Castellazzo Depretis, Negrera, Pallasio"
Comuni confinanti,"Barbianello, Bressana Bottarone, Casanova Lonati, Robecco Pavese, Santa Giuletta, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018115
Cod. catastale,G671
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,pinarolesi
Cartografia,Cartografia
Pinarolo Po,Pinarolo Po
Pinarolo Po – MappaPosizione del comune di Pinarolo Po nella provincia di Pavia,Pinarolo Po – MappaPosizione del comune di Pinarolo Po nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
