Torre de' Negri comune,Torre de' Negri comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mara Riboni (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°09′N 9°20′E
Altitudine,73 m s.l.m.
Superficie,"4,01 km²"
Abitanti,330[1] (30-11-2025)
Densità,"82,29 ab./km²"
Comuni confinanti,"Belgioioso, Corteolona e Genzone, Costa de' Nobili, Spessa"
Altre informazioni,Altre informazioni
Cod. postale,27011
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018158
Cod. catastale,L262
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,torrenegrini
Cartografia,Cartografia
Torre de' Negri,Torre de' Negri
Torre de' Negri – MappaPosizione del comune di Torre de' Negri nella provincia di Pavia,Torre de' Negri – MappaPosizione del comune di Torre de' Negri nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
